question,category,answer
"Connect to Classroom PTZ Camera
",IT_Helpdesk,"aving a class with a static room view could be boring or would not make the session engaging enough with the remote audience with regards to the speaker's actions or movements. With that in mind, we have enabled certain rooms with AI-powered PTZ Webcams.

PTZ Cameras has the ability to pan, tilt, and zoom (PTZ) and allow you to monitor a larger area of a room that would require multiple fixed cameras to achieve.

The deployed AI-powered PTZ Webcams has 2 main features which can help to have the meeting session more interactive.

Zoom
AI Tracking with Auto-Frame
Zoom
The AI-powered PTZ Webcam works based on a gesture required to enable and disable the Zoom feature. The Zoom feature supports up-to 2x Zoom.

The AI-powered PTZ Webcam works based on a gesture that enables or disables the AI Tracking feature.

Please be around 2 to 3 meters in front of the camera before making the gesture to enable/disable the feature.

Enable Zoom

Disable Zoom



Stand 2 to 3 meters in front of the camera and raise BOTH your hands with 2 Fingers (L Shape) as shown above to enable 2x zoom.

Once the camera detects your hand, a BLUE light will blink. Which means the 2x zoom is enabled.

Stand 2 to 3 meters in front of the camera and raise BOTH your hands with 2 Fingers (L Shape) as shown above to disable 2x Zoom.

Once the camera detects your hand, a BLUE light will blink. Which means the 2x zoom is disabled.

AI Tracking with Auto-Frame
Using deep learning neural networks to achieve AI tracking with auto-frame always keeps stable and smooth tracking you and automatically keeps you framed front and centre in all your streams and videos. All you need to do is be yourself.

The AI-powered PTZ Webcam works based on a gesture that enables or disables the AI Tracking feature.

Please be around 2 to 3 meters in front of the camera before making the gesture to enable/disable the feature.

Enable AI Tracking with Auto-Frame

Disable AI Tracking with Auto-Frame

Enable AI Tracking with Auto-Frame

Disable AI Tracking with Auto-Frame



Stand 2 to 3 meters in front of the camera and raise BOTH your hands, as shown above, to enable tracking.

Once the camera detects your hand, a BLUE light will blink. Which means the tracking is enabled.

Stand 2 to 3 meters in front of the camera and raise BOTH your hands, as shown above, to disable tracking.

Once the camera detects your hand, a BLUE light will blink. Which means the tracking is enabled.
"
FlexClassroom - Resource Accounts Mapping,IT_Helpdesk,"
FlexClassroom Resource Account Guide:

FlexClassrooms at APU are equipped with a dedicated resource computer, and each is associated with a unique Teams Account, making every FlexClassroom distinct. Below is the list of FlexClassrooms along with their mapped resource accounts:

APU Campus - Auditoriums:

Auditorium 1: AUD1-FC@staffemail.apu.edu.my
Auditorium 2: AUD2-FC@staffemail.apu.edu.my
Auditorium 3: AUD3-FC@staffemail.apu.edu.my
Auditorium 4: AUD4-FC@staffemail.apu.edu.my
Auditorium 5: AUD5-FC@staffemail.apu.edu.my
APU Campus - Classrooms:

A-4-1 to B-8-9: Corresponding resource accounts based on room numbers
APIIT Campus - Studios:

Studio 1 to Studio 6: Corresponding resource accounts based on studio numbers
To optimize the FlexClassroom setup, lecturers are encouraged to invite the respective resource account or add it as an attendee before commencing a meeting session.

Connecting to FlexClassroom:
For detailed instructions on how to connect to FlexClassroom, please follow this Connect to FlexClassroom link.

Support:
In case of any further inquiries or issues, please open a ticket with the Virtual Help Centre. Alternatively, you can access APSpace > More > Help Centre for additional guidance and support. This guideline is designed to assist you in the process of opening a ticket and ensuring a seamless experience with FlexClassroom."
FlexClassroom - Schedule a meeting,IT_Helpdesk,"FlexClassroom’s first part of getting connected is ensuring proper scheduling of a Microsoft Teams meeting. Microsoft Teams provides multiple ways of scheduling a Teams Meeting. However, in this article, we will only be covering the most recommended method, which will easily connect with FlexClassroom.  

Prerequisite

Ensure you already have a Teams Channel with the necessary members/students in it. (We will not be covering this topic).

 

Step 1 - Launch Teams Desktop Application


 

Step 2 -  Click on Teams (Number 1) → Locate your Teams Channel to schedule a meeting (Number 2).


Step 3 -  Click on the Down Arrow (Number 1)  near Meet → Click on Schedule a Meeting (Number 2).


 

Step 4 - Schedule a Meeting by inputting the necessary details.

Important Attributes:

Time Zone (Number 1)

Meeting Title (Number 2)

Meeting Date & Time (Number 3)

Optional Attributes:

Attendee List

Meeting Description

 

Once the necessary attributes have been inputted, click on 'Send’ (number 4).


Once you have clicked on send, you have successfully scheduled a Meeting.

Next → Part 2: Connect with FlexClassroom

Connect to FlexClassroom 


Support
In case of further inquiry, please open a ticket with the Virtual Help Centre. Alternatively, you may choose to access APSpace > More > Help Centre for further guidance and support. This guideline is designed for you to help you in the process of opening a ticket.
"
Classroom Wireless Projection & Search quickly for a classroom projector with Projector Profile,IT_Helpdesk,"All projectors at the APU Campus are integrated with our classroom network to support wireless projection and automated projector monitoring system. This will allow you to use your laptop/MacBook, iOS or Android devices to wirelessly project (Audio and Video) to the classroom projectors for greater flexibility and mobility instead of using wired HDMI.  However,  this functionality is currently not available at the APIIT Campus.

Epson iProjection Applications
iProjection application is what you need to wirelessly project to the classroom projectors. You may download iProjection applications from below:
IPROJECTION APP FOR IOS

IPROJECTION APP FOR ANDROID

IPROJECTION APP FOR CHROMEBOOK

IPROJECTION APP FOR WINDOWS

IPROJECTION APP FOR MAC

We are pleased to share a Projector Profile that can assist you to search quickly for a classroom projector instead of specifying relevant details such as the IP address and projector name.   Please find the attached Projector Profile which also made available here:


APU Projector List Updated March 2018.plist
24 Apr 2020, 01:01 PM

EasyMP_OperationGuide-v2.80.pdf
24 Apr 2020, 01:01 PM
The projector profile has been grouped based on Classroom Block and sorted by Classroom Names to allow the target projector to be easily located.

To Load Projector Profile:
Step 1 - Ensure your laptop installed with EasyMP Network Projection software. Please walk-in to TechCentre which presently located at level 6 opposite of Block D for the software installation.

Step 2 - Open EasyMP Network Projection Application and the following screen will appear


Step 3 - Click on the Set options button and the following screen will appear


Step 4 - Click on the Edit profile button and the following screen will appear


Step 5- Click on the Set options button and the following screen will appear

Step 6 - Click OK button to  save your edits and

Step 7 - Click OK button again to close the Edit profile screen.

Step 8 - You are now able to perform a projector search with the installed  Profile

How to Use Classroom Projectors




Related articles
Page:
Classroom Wireless Projection & Search quickly for a classroom projector with Projector Profile
Page:
Workflow to conduct online class (e-learning)
Page:
How to attend online classes with MS Teams and Moodle?
Page:
How to Sign Attendance in Class?
Page:
Unable to join Online Class (Live stream)
 

Support
In case of further inquiry, please open a ticket with the Virtual Help Centre. Alternatively, you may choose to access APSpace > More > Help Centre for further guidance and support. This guideline is designed for you to help you in the process of opening a ticket."
VirtualLab@APU,IT_Helpdesk," 

VirtualLab@APU has been UPDATED to VirtualLab@APU .v2. 
 

 

Please CLICK ME to be redirected to the updated Knowledge Base
 

 

Use the new version [VirtualLab@APU .v2] before 12th February 2021
 "
Install VMware Horizon Client for VirtualLab@APU .v2,IT_Helpdesk,"This method will utilize VMware Horizon Client to connect to VirtualLab@APU, which provides a better experience than the Web Browser. The guide will show you how to install and configure Horizon Client on your workstation.

What is the difference between “Horizon Client” and “HTML Access” for VirtualLab@APU .v2?
Installation Video for Windows 11
Installation Video for MacOS
Download Horizon Client
Step 1 - Browser to Vmware Horizon Client Download Page

Step 2 - Select the Latest Version.

Step 3 - Select Go To download based on your OS Version ( Windows, macOS, Android or iOS).


Step 4 - Select Download Now.


Install Horizon Client
Step 5 - Once you downloaded the installer, Click on the downloaded file.


 

Step 6 - Click on Agree & Install. The installation will proceed and it should not take more than 10 minutes.

 


 

You will get a Success! message when the installation is completed successfully. Click Finish.


Click Restart Now to complete the installation. Then follow the next step.


Next Step: Connect to VirtualLab@APU .v2 "
Connect to VirtualLab@APU v.2,IT_Helpdesk,"Method 1: Using VMware Horizon Client (Recommended)
Step 1 - Open your VMware Horizon Client software. 


 

Step 2 - Click on Add Server → Enter the Server Name 'virtuallab.apu.edu.my' → Click on Connect.


 

Horizon Client will attempt to connect you to the server. If a connection is established, you will be prompt to enter your APKey Credential.


Once you are authenticated successfully, you will see the dashboard. To connect to the Windows 10, double click on Windows 10.


The Lab Image will automatically login (give a minute to login).


You can now use the Virtual Computer just like a Lab Computer at APU.


Please note that if you disconnect from the desktop without shutting down, it will automatically shut down in 20 minutes. All data will be removed when you shut down or restart the desktop.


To disconnect from the VDI, click on this icon.


Method 2: Connect using the Web Browser
Step 1 - Open your web browser and go to https://virtuallab.apu.edu.my. Log in using your APKey Credentials.


 

Step 2 - Once you are authenticated successfully, you will see the dashboard. Double click on Windows 10.


 

The Lab Image will automatically login (give a minute to login).


You can now use the Virtual Computer just like a Lab Computer at APU.


Please note that if you disconnect from the desktop without shutting down, it will automatically shut down in 20 minutes. All data will be removed when you shut down or restart the desktop.

To disconnect from the VDI, click on this icon.


Further reading: VirtualLab@APU: FAQ

Support
In case of further inquiry, please open a ticket with the Virtual Help Centre. Alternatively, you may choose to access APSpace > More > Help Centre for further guidance and support. This guideline is designed for you to help you in the process of opening a ticket.
"
What is the difference between “Horizon Client” and “HTML Access” for VirtualLab@APU?,IT_Helpdesk,"
Interacting with VirtualLab@APU: Horizon Client vs. HTML Access

VMware provides two methods for interacting with the virtual desktop in VirtualLab@APU, each with distinct functionality and accessibility. The recommended method for the best experience is to access VirtualLab@APU using Horizon Client. However, if you don't have permission to install Horizon Client, you can still access VirtualLab@APU through HTML Access.

Functionality:

Horizon Client:

Prerequisite: Requires the installation of Horizon Client, necessitating administrative permission.
Performance: Offers a smoother performance compared to HTML Access.
File Transfer: Supports shared folders, USB redirection, and upload to OneDrive.
Multi-display: Supported for enhanced workspace.
Windows Key Action: Direct input by pressing ⊞ WIN.
Additional Functionalities: Provides additional support for Skype and Microsoft Teams, supports multimedia and browser redirection, and utilizes PCoIP and Microsoft RDP protocols.
Display Scaling: Allows synchronized key locks (CAPS LOCK, NUM LOCK, SCROLL LOCK).
HTML Access:

Prerequisite: Requires only a web browser, eliminating the need for administrative permission.
Performance: Generally slower compared to Horizon Client.
File Transfer: Supports upload to OneDrive.
Multi-display: Supported for extended workspace.
Windows Key Action: Simulated by pressing CTRL + ⊞ WIN.
Additional Functionalities: Limited compared to Horizon Client, lacking additional support for Skype and Microsoft Teams, and some multimedia and browser redirection features.
Display Scaling: Supported.
In summary, while both methods allow access to VirtualLab@APU, Horizon Client offers a more feature-rich and smoother experience, especially in terms of performance and additional functionalities. HTML Access serves as an alternative, more accessible option without the need for installation permissions, albeit with some limitations in functionality.





"
What is the minimum bandwidth required to use VirtualLab@APU?,IT_Helpdesk,"
VirtualLab@APU Bandwidth Guidelines:

VirtualLab@APU employs VMware's PCoIP and Blast Extreme display protocols to adapt to varying latency and bandwidth conditions. The required bandwidth varies based on different use cases, distinguishing between office productivity and video streaming. VMware recommends handling bandwidth ranging from 100 Kbps to 2 Mbps for each user. Here's a breakdown of the expected minimum bandwidth for various use cases:

Average Bandwidth:
50 - 150 Kbps: Basic office applications (no video and 3D graphics)
400 - 600 Kbps: Multi-displays, Microsoft Office, and programming software (with simple 3D graphics and Aero)
500 Kbps - 1 Mbps: Software with bursts of display changes, as seen in multimedia designing and CAD (Computer-Aided Design) software
>2 Mbps: Video streaming (Higher video resolution and/or frame rates will substantially increase the required bandwidth)
Users are encouraged to check their internet connection using speedtest.net for a general assessment. For a more accurate result on expected bandwidth while using VirtualLab@APU, users should follow specific settings before testing:

Test Server: Maxis, Subang Jaya (Closest server to APU)
Connections: Single (Simulates VPN connection)
These settings ensure a more precise evaluation of the expected bandwidth. In case of further inquiries or issues, users can open a ticket with the Virtual Help Centre or access APSpace > More > Help Centre for additional guidance and support. This guideline is designed to assist users in the process of opening a ticket and optimizing their experience with VirtualLab@APU."
How do I save or transfer files from VirtualLab@APU?,IT_Helpdesk,"There are few methods you can follow to get the files out of VirtualLab@APU: using Network Drive, using USB Redirection, or through OneDrive (automatically or manually).

We suggest you use the Network Drive method as it should be working by default and is the easiest way to transfer files within workstations.

Network Drive and USB Redirection only works in Horizon Client.

Method 1: Using Network Drive
Step 1 - Plug in your USB Device to the host computer.

Step 2 - Go to This PC view (Shortcut: 
⊞ WIN
 + E).

Step 3 - You will notice at least one device under Network locations. These are your user folder and external storage devices on your host machine mapped to the virtual machine as a network drive.


Step 4 - Copy/move your files to one of the network locations.


Method 2: Using USB Redirection
If no USB device shows up in the list, please follow Method 1.

Once your USB device is redirected to virtual lab, it will not show up in host machine.

Step 1 - Plug in your USB Device to the host computer.

Step 2 - In Horizon Client menu bar, click on Connect USB Device.

Step 3 - Click on the detected USB device.


Step 4 - The Virtual Lab machine will now detect your host USB device and it will show up in This PC view (Shortcut: 
⊞ WIN
 + E) as a local device.

Step 5 - Copy/move your files into the USB device.

Method 3: Through OneDrive (Automatically)
To learn about details on OneDrive Sync on Demand, please follow this article.

When you add files in Documents, Downloads or Desktop folders in the virtual machine, the files will be automatically synchronized with your OneDrive.

When you see the hollow green tick icon :check_mark: next to the file, it means it has successfully sync with OneDrive.

Do note that files in Documents, Downloads or Desktop folders with :check_mark: status is synchronized automatically.

Please ensure that it is properly synchronized to your OneDrive before you leave the virtual machine.


Method 4: Through OneDrive (Manually)
Step 1 - Go to cloudmails-my.sharepoint.com using web browser in the virtual lab.

Step 2 - Sign in using your school credentials.

Step 3 - Click on Upload or drag your files to the browser.


You can now access the file through OneDrive once it successfully uploaded.
"
VirtualLab@APU: vGPU support,IT_Helpdesk,"In a computer system, graphic processing unit (GPU) has the responsibility in handling graphical tasks, such as drawing frames to display, animating visual effects or decoding video for playback. When GPU is absent, CPU will need to take on these tasks alongside with its own CPU-bound tasks, which causes strain on the CPU. This is the reason why you experience slow performance and stuttering in the first iteration of VirtualLab@APU: the absent of a GPU.


To help relief CPU workload in a virtual desktop infrastructure (VDI), NVIDIA introduced their virtual GPU technology to help accelerate the virtual workflow of graphical tasks, hence improving user productivity and efficiency. We have deployed their NVIDIA GRID vPC in our current virtual machines, and the difference in performance is staggering. 

vGPU in action
You can learn more about Virtual GPU and NVIDIA GRID vPC here.

Watch the following comparison video to see the improvement a virtual GPU can bring to VirtualLab@APU:
"
VirtualLab@APU: OneDrive Sync on Demand,IT_Helpdesk,"OneDrive Sync on Demand is a feature allowing the common working directories (Desktop, Documents, Downloads and Pictures) in VirtualLab@APU to automatically sync with your OneDrive that provided by the university.

OneDrive Sync on Demand in action
After you connect to a virtual machine in VirtualLab@APU, you will see a notification at the bottom right with title You are now syncing ""OneDrive - Asia Pacific University"". This means that the machine has successfully synced the common folders with your OneDrive.


Action - Open Windows Explorer and click on OneDrive - Asia Pacific University will show your OneDrive contents.


Notice that three new locations has been added: Desktop, Documents and Pictures.

This means that if you are adding any new files in these locations while using VirtualLab@APU, it will be automatically uploaded and synchronized with OneDrive under your university Office 365 account.


Following table shows corresponding status for each icon:

Status Icon

Meaning


The file is only available online.


The file available online is shared with someone else.


Synchronization is ongoing. You will see this when you are editing a file, trying to open an online file or adding new file.


The file is available locally and online.


The file is marked “Always keep on this device”.

Action - After you logged off from this session and log on again next time, you will see the same files you added from last session. You can double click to continue working on the file.


Synchronization 
IMPORTANT
 
Notice the OneDrive Cloud icon in notification area at the bottom right. 

When you are editing any files within the OneDrive synchronization folders, OneDrive will constantly upload the changes to the cloud to keep the content in sync. A circle with two arrows will appear the the bottom right corner of the OneDrive Cloud icon. Please don’t log off from the virtual machine when files are synchronizing.


Once the synchronization is completed, it should look like this. Now you are safe to log off from the virtual machine.


Accessing files from OneDrive
After you log off from the virtual machine, you can access the files you created or downloaded in VirtualLab@APU from OneDrive.

You should notice three new folders created in your OneDrive: Documents, Pictures and Desktop. These are the folders that were synchronized from VirtualLab@APU.


Opening any of them will show you the files and sub-folders that were also synchronized.

"
VirtualLab@APU: Desktop Collaboration,IT_Helpdesk,"Desktop Collaboration is a feature provided by VMware to allow user to invite other users to join an existing virtual desktop session. It allows up to 10 users to join the session.

Inviting a user to join session
Step 1 - To start inviting other users to join your virtual desktop session, navigate to the tray icon area and click on the VMware Horizon Collaboration icon.


A window will pop up for you to enter the username or email address of the user you wanted to invite. 


Step 2 - Type in the TP number or username of the person you wanted to invite.


Step 3 - Once you added the list of people to invite for collaboration, click Copy Link.


Once the invitation link has been created and copied to your clipboard, you will receive a Success! message.


You need to share the invitation link to the person(s), one way you could do it is through Microsoft Teams.


You will notice the Horizon Client Session Collaboration icon appearing on the desktop as well, indicating that session collaboration has started.


Joining a collaboration session
If someone invited you to join the collaboration session, you can use the link that they sent to join session through HTML Access (web browser). If you have Horizon Client installed, you can use the client link to join instead.

If the link is not clickable, copy the URL and paste it in the browser address bar.

Action - login if you are using web browser to join the session.


If you join using Horizon Client, you will see a pop-up message in your web browser. Click Open VMware Horizon Client.


After authenticated yourself, you will be able to see the host virtual desktop session.


If you receive the following error message, it means that you are not invited to join the collaboration session or the host had removed you from the invitation. Please message the host to get a new invitation.


Managing invitation list
Step 1 - After inviting someone, clicking on the VMware Horizon Collaboration icon again will reveal the dashboard that allows you to check the person you invited and their status, as well as transferring control of virtual session and removing them from the invitation list.


Step 2 - Click on Remove next to the person will allow you to remove them from the invitation list.


Taking Control
By default, only the host has the rights to control the virtual machine. You can choose to transfer the control rights to other invited users by toggling the control to On.


Once you transferred the control rights to other user, you will not be able to interact with the program directly. However, you can take back the control rights by double-click or pressing any key on keyboard.


The invited person with the control rights can now interact with the virtual desktop session.


If you want to return the control rights to host while using Horizon Client, click on the VMware Horizon Collaboration icon in icon tray and toggle the Control switch to Off or click Give Back Control button.

On HTML Access, the only way for host to regain control rights is by double-clicking or press any key in the desktop.

 

Ending Collaboration
Clicking on End Collaboration will end the collaboration session.


You can also hover over Horizon Client Session Collaboration icon and click the box to end collaboration.


"
"Why am I getting ""This desktop currently has no desktop sources available"" when connecting to VirtualLab@APU?",IT_Helpdesk,"When connecting to the Windows 10 virtual machine using VMware Horizon Client or HTML Access, you encounter the following error:


The reason of this error is that VirtualLab@APU have reached its maximum number of users allowed to connect to the service. Currently, the Virtual Lab service can accommodate up to 50 simultaneous users' active sessions.

As a gentle reminder, please shutdown the virtual machine once you no longer need it to free up the resource for other users.
"
"I can’t install VMware Horizon Client, it says “Install Failed”.",IT_Helpdesk,"Solution 1: Run the installer with Administrative rights
The installer requires administrative permission to perform changes to your system. To run the installer with administrative permission, right click on the installer and click Run as Administrator.


Solution 2: Install without HTML5 Multimedia Redirection support
When installing the VMware Horizon Client, uncheck the option Install Support for HTML5 Multimedia Redirection and Browser Redirection, then click Install.


Solution 3: Install the latest .NET Framework
VMware Horizon Client requires .NET Framework to work properly. To ensure that your computer isn’t missing the required files, install the latest .NET Framework.

Step 1 - Go to Microsoft .NET Framework download page.

Step 2 - Click on the latest version, highlighted in yellow.


Step 3 - Click on Download .NET Framework under Runtime.


Step 4 - Your browser will download a small installer file. Run the installer.

Step 5 - Follow the instructions of the installer.

A frequently updated Windows 10 computer should have the latest .NET Framework installed, therefore you will receive this error when trying to install the framework:


Solution 4: Install the latest Visual C++ Redistributables
VMware Horizon Client requires latest version of Visual C++ Redistributables (aka vc_redist) to work properly. To ensure that your computer isn’t missing the required files, install the latest Visual C++ Redistributables.

Step 1 - Go to Visual C++ Redistributables download page.

Step 2 - Scroll to Visual Studio 2015, 2017 and 2019 and download both x86 and x64 versions.

Step 3 - Run the installers.

If the installer states that there are newer version of Visual C++ Redistributables installed, go to Control Panel and uninstall the latest version and run the installer again.

Solution 5: Disable antivirus active protection temporarily
Some user reported their antivirus software is actively blocking the installation of VMware Horizon Client, especially during the process of changing the system HOSTS file.

Step 1 - Open the taskbar tray and right click on your antivirus software.The tray is located at the bottom right of your desktop.


Step 2 - Depending on your antivirus software, you will see different options. You need to look for “Dashboard”, “Temporarily Disable Active Protection”, “Exit” or similar keywords.
You need to find a way to either temporarily disable Active Protection feature or exit the antivirus software completely (not minimize back to tray).

Step 3 - Once the antivirus software is disabled, run the installer.

Step 4 - Regardless of the outcome, please re-enable the antivirus.

If all of the above solutions failed to solve the issue, please opt for using VirtualLab@APU through HTML Access, which does not require the installation of Horizon Client."
I get an error message “The SAM database on the Windows Server does not have a computer account for this workstation trust relationship.” after connecting to VirtualLab@APU,IT_Helpdesk,"This is a domain controller issue.

Press OK and click the Shutdown icon at the bottom right and click Shutdown. Then, reconnect to the VirtualLab@APU."
"The VirtualLab@APU is slow with GPU related software (Adobe, Autodesk Maya and etc).",IT_Helpdesk,"VirtualLab@APU is lacking GPU rendering currently and will be in our next release phase. We will keep you posted on releases.

In case of further inquiry, please open a ticket with the Virtual Help Centre. Alternatively, you may choose to access APSpace > More > Help Centre for further guidance and support. This guideline is designed for you to help you in the process of opening a ticket.

Support
In case of further inquiry, please open a ticket with the Virtual Help Centre. Alternatively, you may choose to access APSpace > More > Help Centre for further guidance and support. This guideline is designed for you to help you in the process of opening a ticket.

 "
I get an error message “The View agent reports that this desktop is currently logging off a previous session. Please try again later.” while connecting to VirtualLab@APU.,IT_Helpdesk,"This error shows up after you attempt to login multiple times and didn’t log off from VirtualLab@APU properly. To solve it, please disconnect from the server, wait for few minutes and reconnect again.

To disconnect from the server, click on the Cancel button on the top left.

Support
In case of further inquiry, please open a ticket with the Virtual Help Centre. Alternatively, you may choose to access APSpace > More > Help Centre for further guidance and support. This guideline is designed for you to help you in the process of opening a ticket."
I get an error message “Hmmm…. can’t reach this page” or similar messages while connecting to VirtualLab@APU.,IT_Helpdesk,"Please ensure you established VPN connection to VPN@APU before trying to access vencer.techlab.apiit.edu.my.

Ensure the Network status in VPN Connect shows Established – 1 and Status – Connected.

Student and Staff uses different VPN profile to connect to VPN@APU.
Follow the respective article to get the correct profile: staff guide, student guide


Support
In case of further inquiry, please open a ticket with the Virtual Help Centre. Alternatively, you may choose to access APSpace > More > Help Centre for further guidance and support. This guideline is designed for you to help you in the process of opening a ticket.
"
I am stuck in the login screen with “VMware SSO User” after connecting to VirtualLab@APU.,IT_Helpdesk,"This issue occurs when Horizon Agent failed to sign in to VirtualLab@APU properly.

Click on the Shutdown icon at the bottom right and click Shutdown. Then, reconnect to VirtualLab@APU."
I don’t see any shared folder or network drive in VirtualLab@APU.,IT_Helpdesk,"Please ensure that your user folder or local disks are added in Horizon Client Sharing Settings before connecting to VirtualLab@APU.

Shared Folder or Network Drive is only available in Horizon Client. 

Please upload your files to OneDrive if you are using HTML Access.

Step 1 - After connecting to VirtualLab@APU using Horizon Client, click on Settings on the top right corner.


Step 2 - In the Sharing tab, ensure that Share your local files and Allow access to removable storage is checked and there are items in Folder/Drive box.


Step 3 - You can add additional folders to share between workstations by clicking Add."
I get an error message “Error: Couldn’t connect to server” while connecting to VirtualLab@APU.,IT_Helpdesk,"Please ensure you established VPN connection to VPN@APU before trying to connect to VirtualLab@APU.

Ensure the Network status in VPN Connect shows Established – 1 and Status – Connected.

Student and Staff uses different VPN profile to connect to VPN@APU.
Follow the respective article to get the correct profile: staff guide, student guide


Support
In case of further inquiry, please open a ticket with the Virtual Help Centre. Alternatively, you may choose to access APSpace > More > Help Centre for further guidance and support. This guideline is designed for you to help you in the process of opening a ticket.
"
I experience hang/frozen screen or Not Responding while using VirtualLab@APU.,IT_Helpdesk,"Please disconnect from the current session and connect to VirtualLab@APU again.

Horizon Client
Step 1 - Hover over the menu bar, click Options > Disconnect and Log Off.


Step 2 - Click OK to disconnect from virtual machine.

Step 3 - Click on Windows 10 to connect to VirtualLab@APU again.

HTML Access
Step 1 - Click on the tab at the left side.

Step 2 - Click Log Off.


Step 3 - Click OK to Log Off Desktop.

Step 4 - Click on Windows 10 to connect to VirtualLab@APU again."
VirtualLab@APU Release Notes: February 2021,IT_Helpdesk,"What’s New in This Release
Release of VirtualLab@APU version 2 (aka VirtualLab@APU .v2)

Much easier connection to VirtualLab@APU without VPN@APU

Updated software based on the year 2020 - 2021

Much faster, enhanced & improved desktop experience for students and staff.

vGPU (Graphics) enabled Windows 10. Students and staff can watch videos or perform intensive tasks that require the use of a GPU. 

OneDrive Sync on Demand, have all your working files (Desktop, Documents, Downloads, Pictures) automatically synced to your personal OneDrive for Business which is provided by the university. 

Office 365 ProPlus Sync on Demand, have all your working documents (Microsoft Word), excel (Microsoft Excel), and presentation (Microsoft PowerPoint) files automatically synced to your personal OneDrive for Business which is provided by the university. 

Desktop Collaboration, allowing students and staff to allow others to join your desktop and share the experience together as a class or team. 

Resolved Issues
I get an error message “The SAM database on the Windows Server does not have a computer account for this workstation trust relationship.” after connecting to VirtualLab@APU.
Resolution: Object Replication, Computer Account objects are created on a particular Active Directory, and Ensuring users to authenticate via the same active directory will eliminate the issue. 

Inactive Sessions were held in the system which was consuming computing resources.
Resolution: Sessions idle (No Disk, GPU, or RAM utilization) for more than 2 hours will be terminated automatically to save computing resources. 

Known Issues
Some users will encounter USB Drive is not displaying.
Resolution: Ensure your USB Drive is redirected to the virtual machine.

Some users will encounter Shared Folder Drive is not displaying.
Resolution: Ensure VMware Horizon Client settings is configured to support the feature.

Some users will encounter Hang/Frozen Screen or Not Responding in Windows 10.
Resolution: Reconnect to a new session.

Support
In case of further inquiry, please open a ticket with the Virtual Help Centre. Alternatively, you may choose to access APSpace > More > Help Centre for further guidance and support. This guideline is designed for you to help you in the process of opening a ticket."
VirtualLab@APU Release Notes: April 2020,IT_Helpdesk,"What’s New in This Release
Provide access to Licensed Software (CMG, Automation Studio, SolidCam and etc) to be accessed from anywhere and anytime.

Enhanced and improved desktop experience for students and staff.

Upcoming Features
vGPU (Graphics) enabled Windows 10. Students and staff can watch videos or perform intensive tasks that require the use of a GPU. 

OneDrive Sync on Demand, have all your working files (Desktop, Documents, Downloads, Pictures) automatically synced to your personal OneDrive for Business which is provided by the university. 

Office 365 ProPlus Sync on Demand, have all your working documents (Microsoft Word), excel (Microsoft Excel), and presentation (Microsoft PowerPoint) files automatically synced to your personal OneDrive for Business which is provided by the university. 

Desktop Collaboration, allowing students and staff to allow others to join your desktop and share the experience together as a class or team. 

Resolved Issues
I get an error message “The SAM database on the Windows Server does not have a computer account for this workstation trust relationship.” after connecting to VirtualLab@APU.
Resolution: Object Replication, Computer Account objects are created on a particular Active Directory, and Ensuring users to authenticate via the same active directory will eliminate the issue. 

Inactive Sessions were held in the system which was consuming computing resources.
Resolution: Sessions idle (No Disk, GPU, or RAM utilization) for more than 2 hours will be terminated automatically to save computing resources. 

Known Issues
Some users will encounter USB Drive is not displaying.
Resolution: Ensure your USB Drive is redirected to the virtual machine.

Some users will encounter Shared Folder Drive is not displaying.
Resolution: Ensure VMware Horizon Client settings is configured to support the feature.

Some users will encounter Hang/Frozen Screen or Not Responding in Windows 10.
Resolution: Reconnect to a new session.

Support
In case of further inquiry, please open a ticket with the Virtual Help Centre. Alternatively, you may choose to access APSpace > More > Help Centre for further guidance and support. This guideline is designed for you to help you in the process of opening a ticket.

 "
Printing Services,IT_Helpdesk,"
TechCentre, situated within APU's lab areas, is a valuable resource offering a range of technical support services, including printing. Accessible during operational hours at the APU and APIIT campuses, TechCentre provides convenient assistance. At APU Campus, you can find TechCentre on Level 6 in the Spine area, opposite Block D, while at APIIT Campus, it is located on Level 3 in the Technology Lab area. The printing services come with a detailed pricing structure, covering various categories such as A4 and A3 printing, binding services, additional services like lamination and scanning, and more. Users can refer to the provided list for specific codes, types, quantities, and prices for each service. For further inquiries or support, users are encouraged to open a ticket with the Virtual Help Centre or explore APSpace > More > Help Centre for additional guidance. This guideline aims to assist users in navigating the available printing services and seeking support from TechCentre."
